,VTI,VEA,VWO,BND,EMB,QQQ,VNQ
3/21/17,-0.01391735,-0.005849429,-0.01255563,0.00230354,0.000362037,-0.01517336,-0.003512804
3/22/17,0.00132706,0.00127908,0.004779849,0.001359207,0.000970965,0.006779177,-0.000548706
3/23/17,-0.000331325,0.00281044,0.000498918,-0.000493595,0.001499102,-0.002525073,0.007373706
3/24/17,9.94E-05,0.00254779,0.002743158,-0.000246872,0.001496858,0.00207122,-0.001098011
3/27/17,-0.001165172,0.002295922,-0.002984306,0.002099261,-8.79E-05,0.001607529,-0.009037591
3/28/17,0.006998867,0.004581326,0.00249435,-0.001848448,-0.000351718,0.006114362,0.004313513
3/29/17,0.001820298,0.001013354,0.001492943,0.001975354,0.003254421,0.004633855,0.005644853
3/30/17,0.003716526,-0.003796449,-0.005714274,-0.001601834,-0.001753436,0.001663525,0.001830403
3/31/17,-0.001727961,-0.001524425,-0.007496233,0.000617093,-0.001405267,-0.000679372,0.005968305
4/3/17,-0.002472824,-0.001017835,0.007804571,0.003621079,0.002702628,-0.000604335,0.002905987
4/4/17,0.000495829,-0.000509339,0.002248318,-0.001108329,-0.001849072,0.001587237,0
4/5/17,-0.004046957,-0.005351756,-0.001744758,0.000863022,0.003704994,-0.004075114,0.001448691
4/6/17,0.003151214,0.000768706,-0.001747808,0.000369534,-0.000527312,0.000530364,0.00530443
4/7/17,-0.000744019,-0.00128016,-0.000250083,-0.00221648,-0.000615544,-0.000530082,0.001439054
4/10/17,0.001240913,0,-0.004753626,0.000987311,-8.80E-05,0.000378897,0.006226759
4/11/17,-0.000330504,0.004101509,0.001005553,0.00320555,0.001671968,-0.004317583,0.006902319
4/12/17,-0.00512435,-0.000765861,0.003515806,0.002334949,0.002899076,-0.004031942,-0.001772858
4/13/17,-0.006812326,-0.006387328,-0.005255233,0.001471343,-0.000438009,-0.003971924,-0.002249615
4/17/17,0.008699233,0.008228329,0.008553463,-0.000612182,0.001577428,0.008282223,0.012104
4/18/17,-0.002156021,-0.005865839,-0.01172365,0.003552627,0.001837423,-0.001521121,0.002696632
4/19/17,-0.000831035,-0.00461776,-0.007319462,-0.001831073,-0.002882112,0.001599686,-0.001403123
4/20/17,0.0082342,0.009020678,0.01042461,-0.001345151,0.000700726,0.008365585,0.000117121
4/21/17,-0.003217286,0.00051077,-0.001006566,0.000244877,0.002538301,-0.000226252,-0.003629612
4/24/17,0.01059339,0.02195559,0.01158688,-0.001346726,0.003055688,0.01207005,-0.01104577
4/25/17,0.006223914,0.006495182,0.007221139,-0.003064852,-0.002524161,0.007230182,0.004158727
4/26/17,0.000244151,-0.003723046,-0.00370832,0.00098379,-0.000174491,-0.001406071,-0.007454797
4/27/17,0.000976364,0.001494803,-0.003225833,0.000737071,0.002269109,0.00600265,-0.002622718
4/28/17,-0.003332759,-0.000746333,0.004232063,0.001104885,0.003134802,0.001767996,-0.01039927
5/1/17,0.002609899,0.002738377,0.003966283,-0.001865036,-0.001356384,0.00889765,0.005918563
5/2/17,0,0.005958334,0.00493829,0.001723494,0.003577693,0.001676354,-0.001681069
5/3/17,-0.002440438,-0.003208318,-0.00712533,-0.001106107,-0.00121728,-0.003201537,-0.01335098
5/4/17,0.000733947,0.007180018,-0.01064094,-0.001107238,-0.004526894,0.000364901,-0.004876283
5/5/17,0.00497067,0.01007866,0.005752865,0.000615783,0.001049434,0.00364857,0.009432859
5/8/17,-0.001540602,-0.004623963,-0.006217359,-0.001723282,-0.002708112,0.002181206,-0.007038857
5/9/17,-0.000324841,-0.001711484,0.01126128,-0.00049323,-0.000963565,0.003482378,-0.005377688
5/10/17,0.002193373,0.001469448,0.007918824,-0.000123298,0.002893417,0.000578272,0.007864333
5/11/17,-0.002918056,-0.00195642,-0.00049105,0.000740254,0.001661151,-0.000794802,-0.004998733
5/12/17,-0.001951106,0.004410691,0.005404108,0.002958918,0.003491329,0.002241759,-0.004043644
5/15/17,0.005375936,0.005855034,0.009284169,-0.00024581,0.000782781,0.003174511,0.00295273
5/16/17,-0.000567121,0.005093357,0.000968218,0.000983669,0.00017386,0.004171475,-0.006746755
5/17/17,-0.01799612,-0.01206564,-0.01499393,0.005404677,-8.69E-05,-0.02542607,0.004075606
5/18/17,0.002971773,0.001954124,-0.01841395,-0.000855219,-0.005127282,0.008745404,0.005535018
5/19/17,0.007160516,0.01145785,0.01775886,0.000611434,0.003843421,0.004225571,0.005382293
5/22/17,0.005311709,0.002651164,-0.000245719,-0.000855428,-0.000435046,0.008415581,0.003893414
5/23/17,0.001707094,-0.000961469,-0.000491653,-0.002079327,0.000609382,0.00100719,0.000848378
5/24/17,0.00292131,0.002165547,0.003443172,0.00208366,0.003828039,0.004599679,0.008113322
5/25/17,0.004207495,-0.000240147,0.005147037,0,-0.00078,0.008513396,0.000120146
5/26/17,-0.000161182,-0.002641705,0.002438486,0.000489248,0.001734729,0.001773427,-0.007206323
5/30/17,-0.001611709,-0.001685521,-0.001702741,0.001466933,0.00051957,0.000849703,-0.006290881
5/31/17,-0.000322875,0.001929615,-0.007309923,0.000488292,0.000692291,-0.000353779,0.000608754
6/1/17,0.009285439,0.006740462,0.007363751,0.000270955,0.001675404,0.003892725,0.005231784
6/2/17,0.003280029,0.009564838,0.003167574,0.003300382,0.005460261,0.01142139,0.01028805
6/5/17,-0.001275845,-0.004263389,0,-0.00158388,-0.001724029,-0.000209215,-0.004312934
6/6/17,-0.002554888,-0.002378741,0.000728749,0.001830403,0.002072407,-0.003974009,-0.004812917
6/7/17,0.001120623,-0.000715279,-0.000728218,-0.001339837,-0.00086175,0.003919905,0.007012475
6/8/17,0.001759025,-0.001431672,0.001943207,-0.000731767,-0.001466133,0.001045943,-0.002401303
6/9/17,-0.000798136,-0.003584175,-0.006787849,-0.000854384,-0.002159268,-0.0250053,0.006980405
6/12/17,-0.000159791,-0.003117532,-0.003661253,-0.000244372,-8.66E-05,-0.005357909,0.008963786
6/13/17,0.004953286,0.008660106,0.004654548,0.000244432,0.001558174,0.008116102,0.00225068
6/14/17,-0.001430959,-0.001192445,-0.000731499,0.003664831,0.002160761,-0.004345972,0.001418305
6/15/17,-0.002229112,-0.010745,-0.008784788,-0.001095472,-0.003190989,-0.004436459,0.005074947
6/16/17,-0.000638329,0.008930701,0.00320042,0.001096673,-8.65E-05,-0.004323949,-0.002583387
6/19/17,0.008143686,0.003588553,0.006625778,-0.001460598,-0.001038356,0.01672105,0.000117666
6/20/17,-0.006810747,-0.009058428,-0.01194543,0.001462735,-0.004677291,-0.007831454,-0.00235429
6/21/17,-0.001156217,-0.000914132,0.003775019,0.000486773,-0.002088639,0.009902446,-0.002005878
6/22/17,0.000400958,0.001948887,0.003710154,0.000365042,0.002180169,-0.000284273,0.000945872
6/23/17,0.002485211,0.002188188,0.003696345,0.000243179,0.003306691,0.003838014,0.003437253
6/26/17,0.000719683,0.001940757,0.01055734,0.00109418,0.001821328,-0.004672923,0.007130106
6/27/17,-0.008230772,-0.00024209,-0.01044704,-0.00340052,-0.005194342,-0.01813916,-0.008967577
6/28/17,0.009427106,0.008960982,0.005892504,0,0.001131296,0.0144172,0.00238129
6/29/17,-0.00798212,-0.01008157,-0.0112278,-0.002071633,-0.004694027,-0.01735472,-0.01140277
6/30/17,0.001367864,0.001939816,0.007899371,-0.00073266,-0.001222702,0.000363421,0
7/3/17,0.002410631,-0.00193606,0.004653407,-0.001959292,-0.003212159,-0.01053471,0.01273576
7/5/17,0.00112224,0.000484885,-0.001706477,0.000613534,-0.000880723,0.009839168,-0.01411796
7/6/17,-0.009848633,-0.006059138,-0.01098903,-0.002329889,-0.00546492,-0.009016255,-0.01877254
7/7/17,0.006954496,0.001706986,0.002716064,-0.000245874,0.0006204,0.01078583,0.005641392
7/10/17,0.000722807,0.001703985,0.007141121,0.000491774,0.004428698,0.006533168,-0.009146341
7/11/17,-0.000240741,0.003159107,0.007090393,0.000983065,0.000970023,0.002812631,-0.001107647
7/12/17,0.007143999,0.008963245,0.0189367,0.002332463,0.005902547,0.01186619,0.01232134
7/13/17,0.001593982,0.002881127,0.00285916,-0.000367407,8.76E-05,0.002203252,0.001582245
7/14/17,0.004456156,0.00718217,0.01021621,0.000367542,0.002539635,0.007871787,0.009600205
7/17/17,0,-0.001663886,-0.005174065,0.001347221,0.000349347,0.000492593,0.008064494
7/18/17,0.000633718,0.002142861,0.001654839,0.002323811,0.002881609,0.00668118,-0.002149257
7/19/17,0.005779458,0.00475174,0.009676655,0.000122052,0.001131954,0.005868355,0.007538558
7/20/17,0.000629737,0.003310461,-0.00210379,0.000610091,0.000347828,0.001319645,-0.004631822
7/21/17,-0.001337365,-0.00259252,-0.002108226,0.001097383,0.002347455,-0.000416158,-0.000715876
7/24/17,7.88E-05,-0.001890312,0.003755865,-0.000487222,-0.001994998,0.00457986,-0.001910491
7/25/17,0.003308114,0.000710198,-0.001637037,-0.003777694,-0.002954948,-0.00255585,0.001315954
7/26/17,-0.000706519,0.00638752,0.007261686,0.002446446,0.00540442,0.003254856,0.006929532
7/27/17,-0.001728346,-0.003761162,-0.005116308,-0.001220238,-0.001473887,-0.006281414,0.001186503
7/28/17,-0.001652625,0.000943773,0.003740062,0.001832639,0,-0.000833637,-0.002725714
7/31/17,-0.000551787,0.002121644,0.001630175,-0.000121977,0.000781488,-0.004240828,0.001307197
8/1/17,0.002050652,0.00564577,0.004185081,0.001964575,0.001159433,0.002303999,0.004509818
8/2/17,-0.000944532,-0.000467847,0.002315404,-0.000609942,0.001391996,0.00271663,-0.009097314
8/3/17,-0.002284731,-0.001404198,-0.003696,0.00207492,0.003475252,-0.003890223,-0.002027015
8/4/17,0.002132062,0.001406172,0.002550443,-0.001583401,-0.002337633,0.001813198,0.003345357
8/7/17,0.0019699,0.000702054,0.007863093,0.000365973,0.001822434,0.006334867,-0.001071731
8/8/17,-0.002752486,-0.005144935,-0.00137681,-0.001341471,-0.00207905,-0.001729386,-0.004768167
8/9/17,-0.001104009,-0.002585816,-0.005514744,0.00073266,0.00034723,-0.001316627,-0.00335368
8/10/17,-0.01468383,-0.01437663,-0.02310536,0.001464341,-0.004165183,-0.02144044,-0.007210654
8/11/17,0.001842828,-0.00023908,0.003074765,0.000852927,0.001829898,0.00758709,-0.006173613
8/14/17,0.01023671,0.00693607,0.008724332,-0.000730431,0.002261478,0.01287816,0.016687
8/15/17,-0.00094999,-0.00095005,-0.000701234,-0.001705646,0.000260338,0.000694825,-0.002995088
8/16/17,0.001822531,0.006181605,0.01216375,0.001464427,0.00086759,0.00173575,0.003965415
8/17/17,-0.01589814,-0.01134214,-0.01271087,0.001827949,-0.000866838,-0.02044633,-0.006223869
8/18/17,-0.001687824,0.002868043,0.007256497,-0.00048657,0.002516059,-0.000707607,-0.01011678
8/21/17,0.001449161,0.000238373,0.00255637,0.000486807,0.000951974,-0.001274465,0.01070687
8/22/17,0.01004904,0.005003552,0.008808555,-0.001216379,0.000345783,0.01524278,-0.002889104
8/23/17,-0.003024493,0.000474169,0.004825347,0.002922882,0.002160761,-0.003561414,0.01026196
8/24/17,-0.001596715,-0.001184816,0.002286812,-0.001457136,0.001034953,-0.002943431,-0.0031071
8/25/17,0.002398873,0.005931198,0.008441682,0.001216083,0.002670781,-0.002108688,0.004795032
8/28/17,0.000398876,0,-0.000226293,0.000485861,-0.00154666,0.003099263,-0.007635402
8/29/17,0.000398656,-0.00424529,-0.002036663,0.001092586,0.000602407,0.003932291,-0.001082039
8/30/17,0.00526067,-0.00142116,0.001133856,-0.000121297,0.003268297,0.01175067,0.005656532
8/31/17,0.006818907,0.008538914,0.003397457,0.000848996,0.003771923,0.01071554,0.005744416
9/1/17,0.002283771,0.001881421,0.00722347,-0.001653885,-0.000930204,-0.001367968,0.003450749
9/5/17,-0.007700132,-0.007276938,-0.007619905,0.004135798,0.003346772,-0.008972586,-0.00272742
9/6/17,0.002771387,0.00733028,0.007226732,-0.001695934,-0.001881639,0.003041001,0.002615948
9/7/17,-0.000473765,0.008216017,0.004932763,0.00315489,0.00385608,0.002342702,0.006404186
9/8/17,-0.000711044,-0.000232879,-0.006470346,-0.001088622,0.000938972,-0.008661542,0.000824885
9/11/17,0.01075184,0.007452252,0.01167753,-0.003027367,-0.00170565,0.01151091,0.00918402
9/12/17,0.0038326,0.002080448,-0.001775761,-0.001457582,-0.002050212,0.002399439,-0.01178395
9/13/17,0.000467489,-0.00461354,-0.006671182,-0.001216379,0,0.001367781,-0.002597327
9/14/17,-0.000311474,0.002780972,0.002014779,0.000608976,0.00068483,-0.005873519,0.008285948
9/15/17,0.001869784,0.000462225,0.006702481,0.000121647,0.001368657,0.00343501,0.001878329
9/18/17,0.002410556,0.001616995,-0.000887726,-0.000730164,-0.001964768,-0.001305043,-0.005390193
9/19/17,0.000465422,0.004843152,0.000888514,-0.000730697,-0.00145509,0.001717623,-0.006597521
9/20/17,0.001628219,-0.002547645,-0.00284069,-0.000853135,-0.006428939,-0.003086399,-0.002727744
9/21/17,-0.002786696,-0.001617368,0.000900719,-0.000244014,0.002846986,-0.006123147,-0.001902676
9/22/17,0.00079947,0.002314332,-0.006074251,0.000976108,0.001720618,-0.000969122,-0.006982038
9/25/17,-0.00163583,-0.004387034,-0.01856043,0.002194055,-0.000944698,-0.01053218,0.005818928
9/26/17,0.000234073,-0.003710572,-0.000230677,-0.000486511,-0.000343857,0.002591002,0.00168735
9/27/17,0.00546062,0.00139668,-0.005536283,-0.003042103,-0.004213586,0.009010327,-0.009024185
9/28/17,0.001629348,0.003254286,0.00046394,0.00024407,0.00207252,-0.000346138,0.006799387
9/29/17,0.003253278,0.0057924,0.01020168,0.000122052,0.003274709,0.007201671,0.002050147
10/2/17,0.005250098,-0.001151791,0.000918084,-0.000388323,-0.000925877,0.000893812,-0.001444158
10/3/17,0.001997003,0.003920622,0.01375828,0.000489248,-0.000258923,0.002129397,-0.001446339
10/4/17,0.000996394,-0.001837767,0.001130949,0,0.000776969,0.000959623,0.005069381
10/5/17,0.005283731,-0.00092062,0.006326313,-0.00073356,0.000517643,0.009792563,0.003602775
